galaxy,include,in_CHANG-ES_XXII_Krause2020,in_Myserlis+2021_ellipse,RA,Dec,RA_short,Dec_short,Hyperleda_pa[deg],PA_fine_tunig_hyperleda_ref,applied_rot_standard,PA[not_used],PA_fine_tuning[not_used],Quadrant_Blueshift,extra_rot,rotate_to_horizontal[deg],rotate_to_horizontal[deg]_CHANGES_XXII,d[Mpc],rm_mean,rm_std,freq_txt_C,Q_fits_C,U_fits_C,D_C_rob0_total_intensity,D_C_rob0_total_intensity_addedBeam,D_C_rob0_total_intensity_addedBeam_regrid_to_QU,D_C_total_int_labeled_mask,D_C_rob0_total_intensity_BMAJ,D_C_rob0_total_intensity_BMIN,D_C_rob0_total_intensity_BPA,comment,CHANG-ES_XXII_exclude_comment,Comment_Jayanne,Coord_String,planck_pi_pixval,dict_key,freqs_list_c,Name,S22,F22,Diam1,Diam2,SFR,SigSFR,e_SigSFR,SC,e_SC,SL,e_SL,_RA,_DE,D_C_rob0_total_intensity_BMAJ_kpc,total_int_BMAJ_scaled_arcsec,total_int_beam_scale_fac,mapping_to_reference_C,qu_BMAJ_arcsec,qu_pix_dim_arcsec,qu_BMAJ_kpc,qu_res_diameter_ratio_kpc,diam_qu_BMAJ_ratio,include_angular,target_res_angular,target_res_angular_highres,include_physical
NGC 3628,yes,yes,yes,11h20m16.9704s,+13d35m22.862s,11h20m17.0s,+13d35m22.9s,103.6,-0.400000000000006,-14.0,104,0,NW,yes,166.0,-14.0,8.5,10.58509,6.317962,[DATA_PATH]/rm_data/NGC3628/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3628/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3628/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3628_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3628_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3628_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3628_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.62,9.47,-31.09,recheck RM Foreground when cutout server is back online,,Gang Wu+  2022,11h20m16.9704s+13d35m22.862s,,n3628,"[5041739782.115, 5169733102.551, 5297726422.987, 5425719743.424, 5553713063.86, 5681706384.297, 5809699704.733, 5937693025.169, 6059686658.71, 6187679979.147, 6315673299.583, 6571659940.456, 6699653260.893, 6827646581.329, 6955639901.765]",NGC 3628,4.41,6.02,9.9,24.5,1.01,2.15,0.02,184.6,3.7,527.5,10.5,170.07087,13.58969,0.3964321473307077,11.203898989898988,1.1646464646464645,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]",12.0000002475996,"[-1.50000000000012, 1.50000000000012]",0.4945099654930114,49.543996500807104,49.499998978651675,True,39.6,31.263157894736842,True
NGC 3735,yes,yes,yes,11h35m57.3000s,+70d32m08.100s,11h35m57.3s,+70d32m08.1s,129.7,-0.300000000000011,-40.0,130,0,SE,no,-40.0,-40.0,42.0,-7.4,6.1,[DATA_PATH]/rm_data/NGC3735/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3735/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3735/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3735_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3735_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3735_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3735_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,10.1,8.8,-2.3,,,CHANG-ES XXII measurement,11h35m57.3000s+70d32m08.100s,,n3735,"[5041880269.328, 5169877188.93, 5297874108.531, 5425871028.132, 5553867947.734, 5681864867.335, 5809861786.936, 5937858706.537, 6059855770.532, 6187852690.134, 6315849609.735, 6443846529.336, 6571843448.938, 6699840368.539, 6827837288.14, 6955834207.742]",NGC 3735,0.84,1.14,2.82,34.4,1.1,1.2,0.02,24.9,0.5,81.3,1.6,173.98875,70.53558,2.0565796369103295,41.29539007092198,4.088652482269503,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000002619384,"[-1.50000000000012, 1.50000000000012]",2.44346100888516,14.078391214310866,14.099999692222386,False,11.28,8.905263157894737,False
NGC 3877,yes,yes,no,11h46m07.7281s,+47d29m40.369s,11h46m07.7s,+47d29m40.4s,36.2,2.2,56.0,35,1,SW,yes,-124.0,56.0,17.7,22.0,6.0,[DATA_PATH]/rm_data/NGC3877/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC3877/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC3877/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N3877_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N3877_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N3877_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N3877_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,8.85,8.66,39.45,,,,11h46m07.7281s+47d29m40.369s,,n3877,"[5041986584.234, 5169986236.271, 5297985888.309, 5425985540.347, 5553985192.385, 5681984844.423, 5809984496.46, 5937984148.498, 6059983816.847, 6187983468.885, 6315983120.922, 6443982772.96, 6571982424.998, 6699982077.036, 6827981729.074, 6955981381.111]",NGC 3877,0.92,1.25,3.58,18.5,0.92,3.43,0.02,12.9,0.3,42.7,0.9,176.5325,47.49478,0.7594363912400547,28.50293296089385,3.2206703910614523,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11.999999497831201,"[-1.50000000000012, 1.50000000000012]",1.029744216746305,17.965626511071527,17.90000074906849,True,14.32,11.305263157894737,True
NGC 4013,yes,yes,yes,11h58m31.3081s,+43d56m50.687s,11h58m31.3s,+43d56m50.7s,58.6,-7.4,24.0,66,0,NE,yes,24.0,24.0,16.0,4.5,2.1,[DATA_PATH]/rm_data/NGC4013/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4013/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4013/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4013_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4013_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4013_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4013_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.07,8.88,-31.87,,,"Bottema, R. 1995",11h58m31.3081s+43d56m50.687s,,n4013,"[5042128956.722, 5170132189.48, 5298135422.238, 5426138654.995, 5554141887.753, 5682145120.51, 5810148353.268, 5938151586.026, 6060154667.248, 6188157900.005, 6316161132.763, 6444164365.521, 6572167598.278, 6700170831.036, 6828174063.794, 6956177296.551]",NGC 4013,0.59,7.98,3.45,16.1,0.48,2.35,0.02,12.6,0.3,37.9,0.8,179.63075,43.94658,0.7035616144796251,30.312202898550723,3.342028985507246,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000009995928,"[-1.50000000000012, 1.50000000000012]",0.9308423463190998,17.296161980238058,17.24999856308547,True,13.8,10.894736842105264,True
NGC 4096,yes,yes,yes,12h06m01.1138s,+47d28m42.834s,12h06m01.1s,+47d28m42.8s,20.0,3.0,73.0,17,0,SW,yes,107.0,73.0,10.32,7.6,1.8,[DATA_PATH]/rm_data/NGC4096/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4096/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4096/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4096_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4096_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4096_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4096_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.0,8.85,-59.54,,,,12h06m01.1138s+47d28m42.834s,,n4096,"[5041986912.379, 5169986572.843, 5297986233.308, 5425985893.772, 5553985554.236, 5681985214.701, 5809984875.165, 5937984535.629, 6059984212.009, 6187983872.474, 6315983532.938, 6443983193.402, 6571982853.867, 6699982514.331, 6827982174.795, 6955981835.26]",NGC 4096,0.79,1.08,3.92,11.8,0.27,2.46,0.02,16.3,0.3,57.1,1.1,181.50471,47.47844,0.45029494730030306,26.471938775510203,2.941326530612245,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000002842152,"[-1.50000000000012, 1.50000000000012]",0.600393277583495,19.653784345310243,19.599999535781848,True,15.68,12.378947368421052,True
NGC 4157,yes,yes,yes,12h11m04.3700s,+50d29m04.800s,12h11m04.4s,+50d29m04.8s,64.7,1.7,27.0,63,0,SW,yes,-153.0,27.0,15.6,24.6,5.4,[DATA_PATH]/rm_data/NGC4157/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4157/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4157/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4157_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4157_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4157_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4157_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.1,8.74,44.64,,,,12h11m04.3700s+50d29m04.800s,,n4157,"[5042092443.639, 5170094761.066, 5298097078.494, 5426099395.922, 5554101713.35, 5682104030.777, 5810106348.205, 5938108665.633, 6060110874.431, 6188113191.859, 6316115509.286, 6444117826.714, 6572120144.142, 6700122461.569, 6828124778.997, 6956127096.425]",NGC 4157,1.62,2.21,3.67,16.6,1.25,5.77,0.02,55.1,1.1,184.5,3.7,182.76821,50.48467,0.6882415021496289,28.589373297002723,3.1416893732970026,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000001107276,"[-1.50000000000012, 1.50000000000012]",0.9075712204354165,18.290575578229532,18.349999830679046,True,14.68,11.589473684210526,True
NGC 4192,yes,yes,yes,12h13m48.2850s,+14d54m01.203s,12h13m48.3s,+14d54m01.2s,152.4,0.400000000000006,-62.0,150,-2,NW,yes,118.0,-62.0,13.55,-6.6,5.7,[DATA_PATH]/rm_data/NGC4192/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4192/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4192/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4192_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4192_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4192_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4192_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.17,8.99,-11.55,,,CH XX!! T.5 Cayatte et al. (1990) PA = 155,12h13m48.2850s+14d54m01.203s,,n4192,"[5041659205.31, 5169650438.237, 5297641671.164, 5425632904.091, 5553624137.018, 5681615369.945, 5809606602.872, 5937597835.8, 6059589479.683, 6187580712.61, 6315571945.537, 6443563178.465, 6571554411.392, 6699545644.319, 6827536877.246, 6955528110.173]",NGC 4192,0.96,1.31,6.2,24.4,0.56,1.19,0.02,24.4,0.5,80.6,1.6,183.45121,14.90033,0.6023979676543094,17.05324193548387,1.8596774193548389,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000003726024,"[-1.50000000000012, 1.50000000000012]",0.7883070708505752,30.95240535350349,30.99999903744383,True,24.8,19.57894736842105,True
NGC 4217,yes,yes,yes,12h15m50.9000s,+47d05m30.400s,12h15m50.9s,+47d05m30.4s,49.8,0.799999999999997,41.0,47,-2,NE,no,41.0,41.0,20.6,3.5,1.3,[DATA_PATH]/rm_data/NGC4217/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4217/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4217/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4217_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4217_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4217_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4217_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,8.91,8.73,29.41,,,,12h15m50.9000s+47d05m30.400s,,n4217,"[5042097919.489, 5170100374.188, 5298102828.888, 5426105283.587, 5554107738.286, 5682110192.986, 5810112647.685, 5938115102.384, 6060117442.019, 6188119896.719, 6316122351.418, 6572127260.817, 6700129715.516, 6828132170.215]",NGC 4217,1.14,1.55,3.9,23.4,1.53,3.57,0.02,35.4,0.7,111.5,2.2,183.96208,47.09178,0.8898561196827912,26.341615384615384,2.956410256410256,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14]",12.00000006171,"[-1.50000000000012, 1.50000000000012]",1.1984594272179676,19.525066488332747,19.49999989972125,True,15.6,12.31578947368421,True
NGC 4302,yes,yes,yes,12h21m42.3016s,+14d35m51.087s,12h21m42.3s,+14d35m51.1s,178.5,-1.0,-89.5,178,0,N,yes,-2.0,1.0,19.41,-7.1,6.4,[DATA_PATH]/rm_data/NGC4302/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4302/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4302/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4302_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4302_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4302_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4302_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.96,8.96,-21.41,,,,12h21m42.3016s+14d35m51.087s,,n4302,"[5041662856.529, 5169654183.33, 5297645510.131, 5425636836.933, 5553628163.734, 5681619490.535, 5809610817.336, 5937602144.138, 6059593877.495, 6187585204.296, 6315576531.098, 6443567857.899, 6571559184.7, 6699550511.501, 6827541838.303, 6955533165.104]",NGC 4302,0.44,6.0,3.82,21.6,0.53,1.45,0.02,12.0,0.3,45.1,0.9,185.427,14.59831,0.937259262341937,30.06251308900524,3.018324607329843,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.000000034288801,"[-1.50000000000012, 1.50000000000012]",1.1292280305409967,19.128111785935527,19.099999945423658,True,15.28,12.063157894736841,True
NGC 4388,yes,yes,yes,12h25m46.7813s,+12d39m43.761s,12h25m46.8s,+12d39m43.8s,91.1,2.09999999999999,1.0,89,0,W,yes,181.0,-44.0,16.6,-2.9,5.3,[DATA_PATH]/rm_data/NGC4388/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4388/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4388/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4388_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4388_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4388_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4388_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.9,8.99,-24.75,,,CHANG-ES XXII Table 5. Oosterloo & van Gorkom (2005),12h25m46.7813s+12d39m43.761s,,n4388,"[5041694730.147, 5169686876.425, 5297679022.703, 5425671168.981, 5553663315.26, 5681655461.538, 5809647607.816, 5937639754.094, 6059632268.516, 6187624414.794, 6315616561.072, 6443608707.351, 6571600853.629, 6699592999.907, 6827585146.186, 6955577292.464]",NGC 4388,2.18,2.97,2.3,11.1,0.07,0.72,0.02,62.2,1.2,130.9,2.6,186.44479,12.66208,0.7967428041472222,49.62913043478261,5.01304347826087,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000010677552,"[-1.50000000000012, 1.50000000000012]",0.9657489397917127,11.49367039677412,11.499998976734691,False,9.2,7.2631578947368425,True
NGC 4565,yes,yes,yes,12h36m20.7802s,+25d59m15.629s,12h36m20.8s,+25d59m15.6s,135.2,0.0,-45.2,133,-1,SE,no,134.0,-44.0,11.9,4.6,3.2,[DATA_PATH]/rm_data/NGC4565/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4565/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4565/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4565_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4565_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4565_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4565_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.02,8.82,85.48,,,(e.g. NED PA = 136),12h36m20.7802s+25d59m15.629s,,n4565,"[5041778443.237, 5169772711.931, 5297766980.625, 5425761249.319, 5553755518.014, 5681749786.708, 5809744055.402, 5937738324.096, 6059732861.446, 6187727130.14, 6315721398.834, 6443715667.528, 6571709936.222, 6699704204.917, 6827698473.611, 6955692742.305]",NGC 4565,1.65,2.25,10.43,36.1,0.74,0.73,0.02,42.3,1.1,152.2,3.0,189.08658,25.98767,0.5203893093610724,9.971294343240652,1.105465004793864,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000002505984,"[-1.50000000000012, 1.50000000000012]",0.6923139518632252,52.14397298053006,52.149998910941136,True,41.72,32.93684210526315,True
NGC 4631,yes,yes,yes,12h42m08.0100s,+32d32m29.400s,12h42m08.0s,+32d32m29.4s,85.7,1.7,6.0,83,-1,SW,yes,186.0,6.0,7.4,-5.0,2.0,[DATA_PATH]/rm_data/NGC4631/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4631/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4631/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4631_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4631_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4631_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4631_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,8.88,8.57,-6.88,,,(e.g. NED PA = 86),12h42m08.0100s+32d32m29.400s,,n4631,"[5041740382.247, 5169733699.857, 5297727017.468, 5425720335.078, 5553713652.689, 5681706970.299, 5809700287.91, 5937693605.52, 6059687236.368, 6187680553.978, 6315673871.589, 6443667189.199, 6571660506.81, 6699653824.42, 6827647142.031, 6955640459.641]",NGC 4631,7.62,1.04,10.85,23.4,1.33,3.1,0.02,284.4,7.4,1083.0,37.0,190.53337,32.5415,0.31858076632752047,9.436534562211982,1.0626728110599077,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000002769,"[-1.50000000000012, 1.50000000000012]",0.4305145592451032,54.35356249282563,54.24999874818128,True,43.4,34.26315789473684,True
NGC 4666,yes,yes,yes,12h45m08.5914s,-00d27m42.786s,12h45m08.6s,-00d27m42.8s,40.6,0.0,49.4,39,-1,NE,no,50.0,50.0,27.5,-5.7,7.9,[DATA_PATH]/rm_data/NGC4666/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC4666/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC4666/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N4666_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N4666_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N4666_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N4666_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,11.06,9.5,-179.82,,,,12h45m08.5914s-00d27m42.786s,,n4666,"[5041902663.713, 5169900158.652, 5297897653.59, 5425895148.529, 5553892643.468, 5681890138.407, 5809887633.346, 5937885128.285, 6059882740.648, 6187880235.587, 6315877730.526, 6443875225.465, 6571872720.404, 6699870215.343, 6827867710.282, 6955865205.22]",NGC 4666,3.03,4.13,4.03,32.3,7.29,8.92,0.02,125.3,2.5,404.5,8.1,191.28579,-0.46189,1.4745608125078467,31.643126550868484,2.8610421836228284,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000000132288,"[-1.50000000000012, 1.50000000000012]",1.5998851512301928,20.1889491724851,20.149999977786642,True,16.12,12.726315789473684,True
NGC 5297,yes,yes,yes,13h46m23.7074s,+43d52m20.723s,13h46m23.7s,+43d52m20.7s,146.5,-2.5,-59.0,153,4,SE,no,-59.0,-59.0,40.4,7.9,2.1,[DATA_PATH]/rm_data/NGC5297/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC5297/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC5297/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N5297_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N5297_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N5297_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N5297_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,9.03,8.78,35.28,,,Rampazzo 1995 uncertain! NED PA 148. ,13h46m23.7074s+43d52m20.723s,,n5297,"[5042106472.644, 5170109141.759, 5298111810.873, 5426114479.988, 5554117149.102, 5682119818.217, 5810122487.331, 5938125156.445, 6060127700.445, 6188130369.56, 6316133038.674, 6444135707.789, 6572138376.903, 6700141046.017, 6828143715.132, 6956146384.246]",NGC 5297,0.24,3.33,2.2,25.9,1.27,2.41,0.02,6.7,0.4,24.4,0.5,206.59867,43.87236,1.7686584874592413,47.32540909090908,5.24090909090909,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",12.0000005172792,"[-1.50000000000012, 1.50000000000012]",2.350376829987505,11.019509582273106,10.99999952582742,False,8.8,6.947368421052632,False
NGC 5775,yes,yes,yes,14h53m57.5970s,+03d32m40.050s,14h53m57.6s,+03d32m40.1s,148.4,2.40000000000001,-56.0,145,-1,NW,yes,124.0,-56.0,28.9,13.5,8.1,[DATA_PATH]/rm_data/NGC5775/RMsynth/qu_fits_C/freq.txt,[DATA_PATH]/rm_data/NGC5775/RMsynth/qu_fits_C/Q.fits,[DATA_PATH]/rm_data/NGC5775/RMsynth/qu_fits_C/U.fits,[DATA_PATH]/total_intensity_images/N5775_D_C_Rob0_Pbcor_Image.tt0.PBNEW.FITS,[DATA_PATH]/total_intensity_images_addedBeam/N5775_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam.fits,[DATA_PATH]/total_intensity_images_addedBeam_regrid/N5775_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_regrid.fits,[MASK_PATH]/N5775_D_C_Rob0_Pbcor_Image.tt0.PBNEW_addedBeam_mask_label.fits,10.08,9.34,-22.79,,,,14h53m57.5970s+03d32m40.050s,,n5775,"[5042062609.702, 5170064170.1, 5298065730.497, 5426067290.895, 5554068851.292, 5682070411.689, 5810071972.087, 5938073532.484, 6060075019.738, 6188076580.135, 6316078140.533, 6444079700.93, 6572081261.327, 6700082821.725, 6828084382.122, 6956085942.519]",NGC 5775,1.99,2.71,3.8,32.0,5.28,6.58,0.02,74.4,1.5,255.0,5.1,223.49167,3.54447,1.4123204318381128,30.584842105263156,3.0342105263157895,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11.999999711530801,"[-1.50000000000012, 1.50000000000012]",1.6813338075670203,19.032508509601495,19.00000045674291,True,15.2,12.0,True
